id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-01-09T09:31:41;Loop;CANCELLED;PAYPAL;2022-01-09T03:52:06;22604
2;calculating;2022-01-09T10:00:04;haptic 1080p;ISSUED;PAYPAL;2022-01-08T21:13:44;10489
3;national Frozen Berkshire;2022-01-09T10:14:54;Account Borders Home;PAID;CREDIT_CARD;2022-01-09T00:57:45;36325
4;monitor;2022-01-08T20:17:30;parse intuitive Division;CANCELLED;PAYPAL;2022-01-08T21:52:31;13687
5;synergy transmitting;2022-01-08T20:19:45;parse Gloves;ISSUED;PAYPAL;2022-01-09T04:56:23;92472
6;function;2022-01-09T01:13:13;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-01-09T12:20:14;26944
7;Maine;2022-01-09T11:39:36;RAM;ISSUED;PAYPAL;2022-01-09T16:41:28;32458
8;Analyst Agent;2022-01-09T15:34:18;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-01-09T12:36:00;79389
9;Salad;2022-01-08T21:43:00;Gorgeous;ISSUED;CREDIT_CARD;2022-01-09T06:29:24;62169
10;Pants Wooden Intuitive;2022-01-09T07:06:57;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-01-09T03:01:34;58737
